iter	R2	RMSE
270	0.8515940235	5056.547569
271	0.8517435216	5054.000047
272	0.8518316144	5052.498302
273	0.8519526032	5050.43504
274	0.8520969203	5047.972849
275	0.8522629699	5045.138393
276	0.8524113111	5042.604872
277	0.8524871676	5041.308826
278	0.8525993466	5039.391581
279	0.8526881459	5037.8734
280	0.8528136942	5035.726147
281	0.8529612991	5033.20049
282	0.853053687	5031.619002
283	0.8532460243	5028.324993
284	0.8533829887	5025.977996
285	0.8534620664	5024.622437
286	0.8536014884	5022.231555
287	0.8536713796	5021.032595
288	0.8537774244	5019.212887
289	0.8538804067	5017.445099
290	0.8542022659	5011.916062
291	0.8542859871	5010.476864
292	0.8544045909	5008.437311
293	0.8544752381	5007.222043
294	0.854629798	5004.562286
295	0.8547012747	5003.331793
296	0.8548039006	5001.56453
297	0.8548913122	5000.058771
298	0.8550161208	4997.908023
299	0.8552111135	4994.545983
300	0.8553186285	4992.691253
301	0.8554276763	4990.809377
302	0.8555585511	4988.549889
303	0.8557289622	4985.60629
304	0.8558447466	4983.605296
305	0.8559520888	4981.749481
306	0.8560545695	4979.977072
307	0.8561519289	4978.29265
308	0.8562957892	4975.802668
309	0.8564155644	4973.72861
310	0.8565372443	4971.620683
311	0.8566043573	4970.457665
312	0.8566882438	4969.003592
313	0.8567865298	4967.299381
314	0.8569345026	4964.732529
315	0.8570396448	4962.907846
316	0.8572616051	4959.053642
317	0.8573333751	4957.806759
318	0.8573766696	4957.054439
319	0.8574668505	4955.487015
320	0.8576656509	4952.029937
321	0.8578241592	4949.271796
322	0.8579234526	4947.543246
323	0.8581093283	4944.305805
324	0.8581791059	4943.089924
325	0.8582668786	4941.560054
326	0.858409645	4939.070633
327	0.8585594476	4936.457173
328	0.8586437505	4934.985814
329	0.8587646976	4932.874128
330	0.858848906	4931.403351
331	0.858918688	4930.184212
332	0.8590268637	4928.293712
333	0.8590948456	4927.105276
334	0.8592662635	4924.107334
335	0.8593798888	4922.119124
336	0.8594284723	4921.268768
337	0.8595686384	4918.814618
338	0.8597816977	4915.081845
339	0.8599484705	4912.158025
340	0.8600218631	4910.870773
341	0.8601881054	4907.953757
342	0.860258314	4906.721303
343	0.8603814455	4904.55908
344	0.8604653366	4903.085385
345	0.8605649127	4901.335578
346	0.8606421134	4899.978534
347	0.860718721	4898.631545
348	0.860886441	4895.681234
349	0.8609943662	4893.781815
350	0.8610595282	4892.634646
351	0.8611419694	4891.182893
352	0.8612161731	4889.87583
353	0.8613451824	4887.60256
354	0.8615360839	4884.236749
355	0.8616288623	4882.600121
356	0.861716283	4881.057504
357	0.8618078951	4879.440399
358	0.8619827266	4876.352851
359	0.8620359652	4875.412261
360	0.8621034401	4874.219892
361	0.8621909406	4872.673208
362	0.8622810724	4871.079501
363	0.8623508791	4869.844825
364	0.8623860567	4869.222515
365	0.862493963	4867.313106
366	0.8625917799	4865.581581
367	0.8627182207	4863.342452
368	0.8627858689	4862.144052
369	0.8628625234	4860.785747
370	0.8629335885	4859.526146
371	0.8630301833	4857.813517
372	0.8631759649	4855.227662
373	0.8632644911	4853.656723
374	0.8633146342	4852.766684
375	0.8633712472	4851.76161
376	0.8634250466	4850.806293
377	0.8634844455	4849.751326
378	0.8635171195	4849.170915
379	0.8635930616	4847.821633
380	0.8637372087	4845.259505
381	0.8637792892	4844.511295
382	0.8638475491	4843.297355
383	0.8639031352	4842.308583
384	0.864007464	4840.452224
385	0.8640773643	4839.208067
386	0.8641360972	4838.16243
387	0.8642151876	4836.754006
388	0.8643326294	4834.661871
389	0.8644140181	4833.211465
390	0.8645974158	4829.941585
391	0.8646974787	4828.156584
392	0.8647680857	4826.896645
393	0.8648444518	4825.533567
394	0.8648819125	4824.864781
395	0.8649572806	4823.51895
396	0.8650129711	4822.524259
397	0.8650705072	4821.496388
398	0.8651548055	4819.990017
399	0.8653013251	4817.370662
400	0.8653675582	4816.186134
401	0.865433204	4815.011823
402	0.865506773	4813.695435
403	0.8655534392	4812.860239
404	0.8656017126	4811.996125
405	0.8656579209	4810.98978
406	0.8657500543	4809.33978
407	0.8658329385	4807.854939
408	0.8658992893	4806.665956
409	0.8659847779	4805.133598
410	0.8660496107	4803.971163
411	0.8661358603	4802.424294
412	0.8662153828	4800.997633
413	0.8662503066	4800.370955
414	0.8663349053	4798.852561
415	0.866396335	4797.749707
416	0.866456762	4796.664609
417	0.8665463249	4795.055858
418	0.8666531003	4793.13723
419	0.8666961009	4792.364341
420	0.8667185556	4791.960692
421	0.8667990364	4790.513684
422	0.8668882865	4788.908495
423	0.867013028	4786.664081
424	0.8671013177	4785.07489
425	0.867186748	4783.536664
426	0.867319089	4781.152807
427	0.8673684026	4780.264217
428	0.8674642872	4778.535984
429	0.8675467263	4777.049594
430	0.8675992593	4776.102174
431	0.8676725724	4774.779677
432	0.8677425992	4773.516119
433	0.8678166323	4772.179908
434	0.8679458302	4769.847139
435	0.8679967166	4768.928033
436	0.868084709	4767.338302
437	0.8681284103	4766.548568
438	0.8681754262	4765.698789
439	0.8682810072	4763.789933
440	0.8683085759	4763.291378
441	0.8683808787	4761.983599
442	0.8684304394	4761.08696
443	0.8684924423	4759.964983
444	0.868568902	4758.58104
445	0.8685925082	4758.153678
446	0.8686937943	4756.319582
447	0.868769264	4754.952512
448	0.8688260183	4753.924196
449	0.8688613094	4753.284655
450	0.868916783	4752.279194
451	0.8689577489	4751.53655
452	0.8690043374	4750.691833
453	0.8690808946	4749.303418
454	0.8691367822	4748.289603
455	0.8691948337	4747.236306
456	0.8692483317	4746.26542
457	0.8692955006	4745.40923
458	0.8693517209	4744.388542
459	0.8693902408	4743.689081
460	0.8694259787	4743.040045
461	0.8694767172	4742.11843
462	0.8695173882	4741.379551
463	0.8696172704	4739.56448
464	0.8696766912	4738.484351
465	0.8697097518	4737.883279
466	0.8698118251	4736.027016
467	0.8698928302	4734.553372
468	0.8699452622	4733.599284
469	0.8699682102	4733.181648
470	0.8700543869	4731.612963
471	0.8701354773	4730.136391
472	0.8701791976	4729.340099
473	0.8702566974	4727.928237
474	0.8703254156	4726.676004
475	0.8703873774	4725.546607
476	0.8704583894	4724.251916
477	0.8705324231	4722.901756
478	0.8706337381	4721.053438
479	0.8707230596	4719.423321
480	0.8707861548	4718.271494
481	0.8708363823	4717.354371
482	0.8709061955	4716.079328
483	0.8709642958	4715.017944
484	0.8710167675	4714.059178
485	0.8710741321	4713.010785
486	0.8710971372	4712.59028
487	0.8711460984	4711.695202
488	0.8711974955	4710.755411
489	0.8712609413	4709.59505
490	0.8713708447	4707.584352
491	0.8714263815	4706.567971
492	0.8714493998	4706.146647
493	0.8714922658	4705.361936
494	0.8715615913	4704.092574
495	0.8716163223	4703.090197
496	0.8716588479	4702.311211
497	0.8717013119	4701.533225
498	0.8717314462	4700.981052
499	0.8718247776	4699.270466
500	0.87185298	4698.753448
501	0.8719373535	4697.206335
502	0.8720344128	4695.425981
503	0.872092543	4694.359378
504	0.8721480128	4693.341362
505	0.8721856547	4692.650411
506	0.8722284794	4691.864197
507	0.8722532781	4691.408863
508	0.8723138129	4690.297181
509	0.8723697778	4689.26919
510	0.8724543638	4687.715043
511	0.872494637	4686.974899
512	0.8725696635	4685.595745
513	0.8726156041	4684.751054
514	0.8727106104	4683.003729
515	0.8727874084	4681.59081
516	0.87282833	4680.837764
517	0.8729038331	4679.448028
518	0.8729622909	4678.371749
519	0.8730157878	4677.38659
520	0.8730694107	4676.398903
521	0.8731159176	4675.542117
522	0.8731553059	4674.816352
523	0.8731980185	4674.029207
524	0.8732353033	4673.34198
525	0.8733074451	4672.011993
526	0.8733618342	4671.009038
527	0.8734056982	4670.200012
528	0.8734629403	4669.144032
529	0.8735169017	4668.148353
530	0.8735819474	4666.947869
531	0.873655758	4665.585245
532	0.8737195761	4664.406772
533	0.8737597865	4663.66409
534	0.8738423547	4662.138691
535	0.8739357951	4660.411832
536	0.8739834657	4659.530592
537	0.874019684	4658.860948
538	0.874075053	4657.837038
539	0.8741417202	4656.603899
540	0.8742030062	4655.470007
541	0.8742251383	4655.06046
542	0.8742808811	4654.028795
543	0.8743180952	4653.339924
544	0.874362155	4652.524201
545	0.8744072037	4651.690022
546	0.874447361	4650.946292
547	0.8744798774	4650.343989
548	0.8745179843	4649.638031
549	0.8745689339	4648.693988
550	0.8745979744	4648.155809
551	0.8746253985	4647.647531
552	0.8746704637	4646.812171
553	0.8747054178	4646.164134
554	0.8747598523	4645.154755
555	0.874798501	4644.43796
556	0.8748316381	4643.823297
557	0.8748665927	4643.174833
558	0.8748912519	4642.717311
559	0.8749544995	4641.543621
560	0.8749914346	4640.858077
561	0.8749957652	4640.777691
562	0.8750175109	4640.374019
563	0.8750715555	4639.370621
564	0.8751553103	4637.815191
565	0.8751920122	4637.133429
566	0.8752000682	4636.983769
567	0.8752204223	4636.605622
568	0.875232006	4636.390401
569	0.875280963	4635.480689
570	0.875323866	4634.683324
571	0.875404179	4633.190313
572	0.8754308888	4632.693675
573	0.8754854251	4631.67947
574	0.8755526711	4630.428595
575	0.8756350005	4628.896689
576	0.8756857944	4627.951311
577	0.8757303558	4627.121773
578	0.8757899233	4626.012657
579	0.8758119354	4625.602736
580	0.8758365138	4625.144981
581	0.8758815668	4624.305782
582	0.8759154861	4623.673869
583	0.8759429244	4623.162634
584	0.8759764853	4622.537244
585	0.8760220037	4621.688898
586	0.8760568025	4621.040232
587	0.8760640567	4620.905
588	0.8761329835	4619.619867
589	0.876182641	4618.693785
590	0.8762155442	4618.080059
591	0.8762460097	4617.511729
592	0.8763042489	4616.42509
593	0.876380046	4615.010468
594	0.8764565948	4613.581379
595	0.876485132	4613.048504
596	0.8765021794	4612.730149
597	0.8765519068	4611.801377
598	0.8765993486	4610.915123
599	0.8766199673	4610.529894
600	0.8766235062	4610.463772
601	0.8766545795	4609.883144
602	0.8766909886	4609.202721
603	0.8767392694	4608.300282
604	0.8767678358	4607.766252
605	0.8767928046	4607.299423
606	0.8768134174	4606.914002
607	0.8768617372	4606.010386
608	0.8769077609	4605.149542
609	0.8769738257	4603.913563
610	0.8770085628	4603.263548
611	0.8770466702	4602.55036
612	0.8770754781	4602.01114
613	0.8771287113	4601.014568
614	0.8771781381	4600.089062
615	0.8772397595	4598.934953
616	0.8772591667	4598.571416
617	0.8772685557	4598.39553
618	0.8773277054	4597.287311
619	0.8773700265	4596.494226
620	0.8774321223	4595.330323
621	0.8774841428	4594.355039
622	0.8775017065	4594.025708
623	0.8775426523	4593.257852
624	0.8775648237	4592.84202
625	0.8776054873	4592.07926
626	0.8776554539	4591.141825
627	0.877710367	4590.111365
628	0.8777658324	4589.070307
629	0.8778073658	4588.290591
630	0.8778430875	4587.619874
631	0.8778995989	4586.558603
632	0.8779518712	4585.576724
633	0.8779695006	4585.245528
634	0.8780294038	4584.119971
635	0.8780733579	4583.293916
636	0.8781415487	4582.01207
637	0.8781746983	4581.388796
638	0.8782410702	4580.140629
639	0.8782831574	4579.348975
640	0.8783357101	4578.360274
641	0.8783492361	4578.105767
642	0.8783734892	4577.649384
643	0.8784175129	4576.82085
644	0.8784753536	4575.732051
645	0.8785071769	4575.132895
646	0.8785193558	4574.903574
647	0.8785561794	4574.210142
648	0.8785980368	4573.42179
649	0.8786390879	4572.648492
650	0.8786826297	4571.828131
651	0.8787223783	4571.079111
652	0.8787590394	4570.388161
653	0.8787891735	4569.820146
654	0.8788307423	4569.036478
655	0.8788843812	4568.025061
656	0.8789451347	4566.879221
657	0.8789837498	4566.150772
658	0.8790120095	4565.617597
659	0.8790742489	4564.44311
660	0.8791403002	4563.196359
661	0.8791502714	4563.008119
662	0.8791860354	4562.332884
663	0.8792067758	4561.941255
664	0.8792365068	4561.379802
665	0.8792639426	4560.861632
666	0.8792961205	4560.253823
667	0.879329642	4559.62055
668	0.8793613872	4559.020752
669	0.8793709457	4558.840136
670	0.8794134942	4558.036066
671	0.8794335315	4557.657356
672	0.8794641332	4557.078916
673	0.8794835564	4556.711736
674	0.8795316399	4555.802629
675	0.8795698853	4555.079402
676	0.8795839408	4554.813579
677	0.8796108449	4554.304718
678	0.8796619836	4553.337331
679	0.8796877398	4552.850024
680	0.8797128768	4552.374384
681	0.8797587761	4551.50575
682	0.879788324	4550.946475
683	0.8798402531	4549.963411
684	0.8798820516	4549.171972
685	0.8799173502	4548.503498
686	0.8799570815	4547.750962
687	0.880031646	4546.338329
688	0.8800779695	4545.460503
689	0.8800875071	4545.279744
690	0.8801228194	4544.61044
691	0.8801467891	4544.156064
692	0.8801826575	4543.47605
693	0.8801927659	4543.284391
694	0.8802246411	4542.679971
695	0.880251359	4542.173283
696	0.8802962409	4541.321997
697	0.8803155805	4540.955129
698	0.8803516851	4540.270155
699	0.8803914914	4539.514831
700	0.8804064633	4539.230707
701	0.8804509525	4538.386324
702	0.8804833484	4537.771367
703	0.8805170359	4537.131804
704	0.8805772425	4535.988545
705	0.8805811453	4535.914425
706	0.8805975259	4535.603321
707	0.8806315504	4534.957049
708	0.8806421606	4534.755498
709	0.8806840017	4533.960594
710	0.8807179611	4533.315328
711	0.880754019	4532.630085
712	0.8807974066	4531.805413
713	0.88083081	4531.170409
714	0.8808541493	4530.726672
715	0.8808838883	4530.161198
716	0.8809151475	4529.566742
717	0.8809422057	4529.052113
718	0.8809654283	4528.61039
719	0.8809928796	4528.088173
720	0.8810160614	4527.64713
721	0.88104595	4527.078426
722	0.8810960318	4526.125335
723	0.8811111056	4525.838431
724	0.8811245335	4525.582838
725	0.8811759079	4524.604822
726	0.8811950774	4524.239837
727	0.881258559	4523.030947
728	0.8812812918	4522.597964
729	0.8812975661	4522.287967
730	0.8813346696	4521.581134
731	0.8813669766	4520.965585
732	0.8814053869	4520.233639
733	0.881441784	4519.53995
734	0.8814810852	4518.79079
735	0.8815255391	4517.943258
736	0.8815401721	4517.66424
737	0.8815870375	4516.770507
738	0.8816128481	4516.278218
739	0.8816741565	4515.108658
740	0.8816831254	4514.937535
741	0.8817518411	4513.626259
742	0.8817752258	4513.179931
743	0.8818084809	4512.545137
744	0.8818408262	4511.927624
745	0.881881133	4511.157998
746	0.8819131478	4510.546607
747	0.8819354915	4510.119858
748	0.8819541468	4509.763523
749	0.8819811364	4509.247945
750	0.8820285564	4508.341945
751	0.8820633176	4507.677688
752	0.8821012324	4506.953055
753	0.8821312704	4506.378882
754	0.8821601823	4505.826167
755	0.8821824401	4505.400612
756	0.882222047	4504.643254
757	0.8822496655	4504.115062
758	0.8822872806	4503.395589
759	0.8823179679	4502.808541
760	0.8823520032	4502.157356
761	0.8823734888	4501.746232
762	0.8824041147	4501.160143
763	0.8824401611	4500.470226
764	0.8824638497	4500.016775
765	0.8824904206	4499.508096
766	0.882529352	4498.762682
767	0.8825737841	4497.911795
768	0.882606857	4497.278336
769	0.8826506641	4496.439143
770	0.882663714	4496.18912
771	0.8827105116	4495.292417
772	0.8827336587	4494.848822
773	0.8827509903	4494.516647
774	0.8828287956	4493.02514
775	0.8828717373	4492.201748
776	0.882907439	4491.517066
777	0.8829487714	4490.724267
778	0.8829715219	4490.287829
779	0.8830250333	4489.261117
780	0.8830581474	4488.625647
781	0.8830902118	4488.010235
782	0.8831407208	4487.040643
783	0.8831682418	4486.512251
784	0.8832057657	4485.791707
785	0.883230938	4485.308276
786	0.8832615948	4484.719445
787	0.8833254101	4483.493488
788	0.8833605497	4482.818275
789	0.8833800008	4482.444477
790	0.8834222994	4481.631501
791	0.8834462823	4481.170487
792	0.8834608075	4480.891251
793	0.8834739546	4480.638494
794	0.8835251566	4479.65398
795	0.8835544939	4479.089784
796	0.8835754894	4478.68597
797	0.8835881388	4478.44266
798	0.8836085251	4478.050507
799	0.8836287342	4477.661727
800	0.8836397418	4477.44995
801	0.8836576573	4477.105249
802	0.8837070569	4476.154647
803	0.8837445847	4475.432359
804	0.8837911185	4474.536574
805	0.8838245265	4473.893352
806	0.8838476675	4473.447753
807	0.8838735072	4472.950136
808	0.8838841331	4472.745486
809	0.8838936915	4472.561389
810	0.8839196868	4472.060676
811	0.8839471594	4471.531446
812	0.8839656189	4471.175808
813	0.8839971039	4470.569157
814	0.8840204096	4470.120054
815	0.8840424991	4469.694342
816	0.8840812575	4468.947291
817	0.8841111083	4468.371842
818	0.8841435279	4467.746791
819	0.8841623866	4467.383155
820	0.8841842016	4466.962478
821	0.8842062606	4466.537054
822	0.8842321202	4466.038282
823	0.8842655989	4465.392473
824	0.8842818177	4465.079577
825	0.8842927634	4464.868397
826	0.8843164293	4464.411769
827	0.884336505	4464.024374
828	0.884356012	4463.647923
829	0.8843686744	4463.403544
830	0.8843786677	4463.210668
831	0.8843929092	4462.935784
832	0.8844152677	4462.504195
833	0.8844519899	4461.795252
834	0.8844741863	4461.366683
835	0.8844914814	4461.032721
836	0.8845415111	4460.066523
837	0.8845637424	4459.637114
838	0.8845741972	4459.435159
839	0.8846015651	4458.906453
840	0.8846434597	4458.096993
841	0.8846536541	4457.9
842	0.8846745352	4457.496477
843	0.8846883997	4457.228527
844	0.8846967582	4457.066979
845	0.8847141059	4456.731677
846	0.8847324313	4456.377451
847	0.8847654437	4455.739257
848	0.8847811176	4455.436217
849	0.8847965201	4455.138406
850	0.8848023436	4455.025801
851	0.8848303177	4454.484849
852	0.8848518234	4454.068935
853	0.88487425	4453.635171
854	0.884884839	4453.430348
855	0.8849257024	4452.639842
856	0.8849505759	4452.158594
857	0.8849791074	4451.606505
858	0.8849864761	4451.46391
859	0.8849958212	4451.283061
860	0.8850333009	4450.557669
861	0.8850489048	4450.255632
862	0.8850586024	4450.067908
863	0.8850936369	4449.389659
864	0.8850973797	4449.317196
865	0.8851123685	4449.026984
866	0.8851201827	4448.875678
867	0.8851329705	4448.628059
868	0.8851576162	4448.150788
869	0.8851824128	4447.670543
870	0.8852103183	4447.130024
871	0.8852452634	4446.45306
872	0.8852909273	4445.568293
873	0.8853230264	4444.946246
874	0.8853419664	4444.579168
875	0.8853674497	4444.085226
876	0.8854415157	4442.649295
877	0.8854665	4442.164816
878	0.8854917312	4441.675495
879	0.8855222389	4441.083771
880	0.88553209	4440.892685
881	0.8855826669	4439.911486
882	0.8856134079	4439.315001
883	0.8856527542	4438.551425
884	0.8857035295	4437.565857
885	0.8857527189	4436.610864
886	0.8857702665	4436.270135
887	0.8857894469	4435.897671
888	0.8858106449	4435.485991
889	0.8858353995	4435.00519
890	0.8858426893	4434.863592
